player,season,team,league,role_subgroup,archetype_id,primary_role,primary_role_label,primary_role_description,primary_role_similarity,role_confidence,role_ambiguity,role_profile_type,secondary_archetype_id,secondary_role,secondary_role_label,secondary_role_similarity,role_fit_bucket,primary_label_status,primary_archetype_match,minutes,pos_,age_,archetype_method,archetype_probability,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role,primary_archetype_id_calc,secondary_role_description
Hector Bellerin,1718,Arsenal,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",56.5,21.8,78.2,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,34.7,Ambiguous Fit,inferred_v1,True,3051,DF,22.0,PCA+KMeans,28.6,74.9,3.952802359882006,83.6,52.6,2.4188790560471976,1.2389380530973453,2.6253687315634218,0.6784660766961652,1.68141592920354,1.2684365781710916,1.032448377581121,38.0,31.11081612586037,2.2772861356932155,0.11799410029498525,5.162241887905605,,,,,,,,,,,,,,,,,,,,,,1,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Laurent Koscielny,1718,Arsenal,ENG-Premier League,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",35.8,8.2,91.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,27.6,Ambiguous Fit,inferred_v1,True,2225,DF,31.0,PCA+KMeans,0.2,40.4,5.020242914979757,88.6,76.8,5.5465587044534415,1.1336032388663968,5.587044534412955,2.1862348178137654,1.7408906882591093,0.8502024291497976,3.117408906882591,56.6,42.1391363022942,3.425101214574899,0.12145748987854252,6.477732793522267,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Nacho Monreal,1718,Arsenal,ENG-Premier League,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",63.6,14.0,86.0,Balanced,2,Aerial Defender,🦅 Aerial Defender,49.6,Hybrid Fit,inferred_v1,True,2243,DF,31.0,PCA+KMeans,20.1,56.4,5.542168674698796,88.3,62.7,4.698795180722892,1.0441767068273093,3.3333333333333335,2.248995983935743,2.168674698795181,1.285140562248996,2.48995983935743,50.0,35.663319946452475,3.0040160642570286,0.08032128514056225,6.224899598393574,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Sead Kolašinac,1718,Arsenal,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",59.6,3.2,96.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,56.4,Ambiguous Fit,inferred_v1,True,2147,DF,24.0,PCA+KMeans,28.4,77.2,4.393305439330544,79.4,46.5,2.887029288702929,0.6276150627615064,2.3430962343096238,1.087866108786611,2.0502092050209204,1.5481171548117156,1.9665271966527198,59.5,38.65550906555091,2.3430962343096238,0.0,5.606694560669457,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Shkodran Mustafi,1718,Arsenal,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,68.0,7.1,92.9,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,60.9,Hybrid Fit,inferred_v1,True,2273,DF,25.0,PCA+KMeans,20.6,34.2,3.6363636363636362,85.5,55.3,4.071146245059288,0.9090909090909091,6.91699604743083,2.2529644268774702,2.5296442687747036,1.8181818181818181,4.782608695652174,62.4,39.060869565217395,3.770750988142292,0.07905138339920949,6.245059288537549,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Nathan Aké,1718,Bournemouth,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,27.3,2.4,97.6,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,24.8,Ambiguous Fit,inferred_v1,True,3353,DF,22.0,PCA+KMeans,56.3,76.1,2.57372654155496,83.5,66.3,2.3860589812332442,1.2600536193029492,6.595174262734585,1.28686327077748,1.420911528150134,0.8579088471849866,2.7882037533512065,53.9,49.19606791778373,3.0670241286863273,0.05361930294906166,4.7721179624664884,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Simon Francis,1718,Bournemouth,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,50.9,10.7,89.3,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,40.2,Ambiguous Fit,inferred_v1,True,2705,DF,32.0,PCA+KMeans,30.0,50.4,3.953488372093023,72.3,48.0,3.6212624584717608,0.9634551495016611,6.445182724252492,1.627906976744186,1.627906976744186,1.1295681063122922,4.717607973421926,66.0,45.13920265780731,3.1893687707641196,0.13289036544850497,5.282392026578073,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Steve Cook,1718,Bournemouth,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,51.7,9.2,90.8,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,42.4,Ambiguous Fit,inferred_v1,True,2767,DF,26.0,PCA+KMeans,36.0,43.0,2.7035830618892507,73.5,51.7,2.1172638436482085,2.0521172638436482,7.55700325732899,1.7589576547231272,1.205211726384365,0.6188925081433225,4.299674267100977,66.0,40.099891422366994,3.413680781758958,0.13029315960912052,4.495114006514658,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Bruno,1718,Brighton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,34.2,0.7,99.3,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,33.5,Ambiguous Fit,inferred_v1,True,2016,DF,36.0,PCA+KMeans,1.4,64.6,3.482142857142857,77.8,54.0,2.410714285714286,0.7589285714285715,3.3928571428571432,1.6964285714285716,1.3392857142857144,0.7589285714285715,1.25,56.0,44.083333333333336,2.473214285714286,0.0,5.178571428571429,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Ezequiel Schelotto,1718,Brighton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,51.4,3.8,96.2,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,47.6,Ambiguous Fit,inferred_v1,True,1318,DF,28.0,PCA+KMeans,12.7,58.4,3.2876712328767126,72.1,60.0,2.397260273972603,0.4794520547945206,3.9726027397260273,1.3013698630136987,1.36986301369863,0.8904109589041096,1.8493150684931507,60.0,40.61643835616439,2.4383561643835616,0.136986301369863,5.068493150684931,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
