player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster,role_similar_player_1,role_similar_player_2,role_similar_player_3,role_similar_player_4,role_similar_player_5
Aaron Ramsey,1718,Arsenal,ENG-Premier League,MF,26.0,1846,Creative Playmaker,Box-to-Box Engine,35.9,23.3,12.6,87.4,2,3,Josip Iličić | Atalanta | 1718 | 88.0,Neymar | Paris S-G | 1920 | 87.7,Julian Brandt | Dortmund | 2122 | 86.8,Leroy Sané | Bayern Munich | 2223 | 86.5,Isco | Real Madrid | 1718 | 86.3
Alex Iwobi,1718,Arsenal,ENG-Premier League,"MF,FW",21.0,1830,Creative Playmaker,Ball Progressor,38.2,23.4,14.8,85.2,2,1,Rayan Cherki | Lyon | 2324 | 94.5,David Costa | Lens | 2223 | 89.7,Amine Harit | Schalke 04 | 1920 | 89.3,Thomas Lemar | Monaco | 1718 | 88.7,João Mário | Inter | 1718 | 88.1
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1503,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1,Thomas Müller | Bayern Munich | 1920 | 94.0,Aleksei Miranchuk | Atalanta | 2324 | 92.6,Josip Iličić | Atalanta | 1718 | 93.1,James Rodríguez | Bayern Munich | 1819 | 92.4,Philippe Coutinho | Bayern Munich | 1920 | 93.0
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1043,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1,Thomas Müller | Bayern Munich | 1920 | 94.0,Aleksei Miranchuk | Atalanta | 2324 | 92.6,Josip Iličić | Atalanta | 1718 | 93.1,James Rodríguez | Bayern Munich | 1819 | 92.4,Philippe Coutinho | Bayern Munich | 1920 | 93.0
Granit Xhaka,1718,Arsenal,ENG-Premier League,MF,24.0,3260,Box-to-Box Engine,Defensive Anchor,37.9,21.6,16.3,83.7,3,0,Manuel Locatelli | Sassuolo | 2021 | 92.5,Marcelo Brozović | Inter | 2122 | 90.0,Aleix García | Girona | 2324 | 87.8,Jorginho | Napoli | 1718 | 87.4,Youri Tielemans | Leicester City | 2021 | 87.2
Jack Wilshere,1718,Arsenal,ENG-Premier League,MF,25.0,1193,Box-to-Box Engine,Creative Playmaker,30.8,25.4,5.4,94.6,3,2,Ruben Loftus-Cheek | Chelsea | 2122 | 91.5,Renato Sanches | Lille | 2122 | 86.1,Frenkie de Jong | Barcelona | 2324 | 76.3,Mateo Kovačić | Chelsea | 1819 | 75.7,Bruno Guimarães | Lyon | 2122 | 73.3
Mesut Özil,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,2163,Creative Playmaker,Box-to-Box Engine,34.9,23.3,11.6,88.4,2,3,Isco | Real Madrid | 1718 | 96.4,Ousmane Dembélé | Paris S-G | 2324 | 94.3,Josip Iličić | Atalanta | 2021 | 93.7,Dimitri Payet | Marseille | 1718 | 93.6,Bernardo Silva | Manchester City | 2324 | 93.2
Andrew Surman,1718,Bournemouth,ENG-Premier League,MF,30.0,1856,Defensive Anchor,Box-to-Box Engine,29.8,29.1,0.7,99.3,0,3,Tobias Strobl | Gladbach | 1819 | 70.8,Fernando | Sevilla | 2122 | 70.4,Pedro Mosquera | Huesca | 2021 | 69.5,Étienne Didot | Guingamp | 1819 | 68.7,Tomás Rincón | Torino | 2122 | 68.2
Dan Gosling,1718,Bournemouth,ENG-Premier League,MF,27.0,1947,Defensive Anchor,Box-to-Box Engine,37.7,27.2,10.5,89.5,0,3,Oriol Romeu | Southampton | 1920 | 89.8,Pathé Ciss | Rayo Vallecano | 2324 | 84.2,Pedro Obiang | West Ham | 1718 | 83.2,Ellyes Skhiri | Eint Frankfurt | 2324 | 83.0,Renato Tapia | Celta Vigo | 2324 | 82.7
Harry Arter,1718,Bournemouth,ENG-Premier League,MF,27.0,960,Defensive Anchor,Box-to-Box Engine,34.4,27.6,6.8,93.2,0,3,Mikel Vesga | Athletic Club | 2122 | 80.3,Mario Lemina | Wolves | 2223 | 78.7,Thomas Delaney | Dortmund | 2021 | 78.3,Ashley Westwood | Burnley | 1718 | 78.2,Sofyan Amrabat | Manchester Utd | 2324 | 78.1
