hotspot_type,line,function,function_start,function_end,function_n_lines,function_decorators,code
read_csv,8195,load_csv,8192.0,8195.0,4.0,st.cache_data(show_spinner=False),return pd.read_csv(path)
read_parquet,8202,load_parquet,8199.0,8202.0,4.0,st.cache_data(show_spinner=False),return pd.read_parquet(path)
read_csv,8427,load_role_explainability_dataset,8390.0,8469.0,80.0,st.cache_data(show_spinner=False),"dna = pd.read_csv(resolved_path, low_memory=False)"
read_parquet,8436,load_role_explainability_dataset,8390.0,8469.0,80.0,st.cache_data(show_spinner=False),"dna = pd.read_parquet(resolved_path, columns=keep_cols) if keep_cols else pd.DataFrame()"
read_parquet,8438,load_role_explainability_dataset,8390.0,8469.0,80.0,st.cache_data(show_spinner=False),dna = pd.read_parquet(resolved_path)
merge,8535,_merge_fill,8516.0,8543.0,28.0,,"matched = tmp.merge(tmp_right, on=available_join_cols, how=""left"")"
merge,8560,merge_role_explainability,8472.0,8568.0,97.0,,"matched = tmp[[""_role_dna_row_id"", ""role_dna_player_key""]].merge(tmp_right, on=""role_dna_player_key"", how=""left"")"
read_csv,8691,load_role_intelligence_dataset,8679.0,8722.0,44.0,st.cache_data(show_spinner=False),"role_df = pd.read_csv(resolved_path, low_memory=False).copy()"
read_parquet,8693,load_role_intelligence_dataset,8679.0,8722.0,44.0,st.cache_data(show_spinner=False),role_df = pd.read_parquet(resolved_path).copy()
merge,9223,_fill_from_strategy,9204.0,9243.0,40.0,,"matched = tmp_left.merge(tmp_right, on=join_left_cols, how=""left"")"
merge,9260,merge_role_intelligence,9131.0,9275.0,145.0,,"matched = tmp_left[[""_role_row_id"", ""_role_player_key""]].merge(tmp_right, on=""_role_player_key"", how=""left"")"
read_csv,9881,optimize_transfer_portfolio_with_style,9781.0,10025.0,245.0,,df = pd.read_csv(input_file)
apply_generic,9894,optimize_transfer_portfolio_with_style,9781.0,10025.0,245.0,,"df[""player_level_tier""] = df[""portfolio_value_score""].apply(classify_player_level_from_score)"
groupby,10690,build_current_context,10671.0,10702.0,32.0,,"latest = current.dropna(subset=[name_col]).groupby(name_col, as_index=False).tail(1).copy()"
dataframe_apply_axis1,10692,build_current_context,10671.0,10702.0,32.0,,"latest[""display_club""] = latest.apply(resolve_display_club, axis=1)"
apply_generic,10692,build_current_context,10671.0,10702.0,32.0,,"latest[""display_club""] = latest.apply(resolve_display_club, axis=1)"
merge,10718,apply_current_context,10705.0,10728.0,24.0,,"out = out.merge(ctx.drop_duplicates(""_ctx_key""), on=""_ctx_key"", how=""left"")"
groupby,10754,audit_current_season_consistency,10731.0,10756.0,26.0,,"multi = df.groupby(name_col)[""club""].nunique(dropna=True)"
read_parquet,11565,_tm69_v13b_identity_performance_lookup,11561.0,11602.0,42.0,st.cache_data(show_spinner=False),df = pd.read_parquet(path)
merge,13760,enrich_shortlist_with_radar_features,13700.0,13772.0,73.0,st.cache_data(show_spinner=False),merged = left.merge(
