hotspot_type,line,code
apply,9894,"df[""player_level_tier""] = df[""portfolio_value_score""].apply(classify_player_level_from_score)"
apply,10692,"latest[""display_club""] = latest.apply(resolve_display_club, axis=1)"
apply,14271,"benchmark_df[""position_group""].apply(normalize_position_group) == player_position"
apply,14489,"result[""league_strength_index""] = result[""league""].apply(get_league_strength)"
apply,14490,"result[""league_quality_tier""] = result[""league_strength_index""].apply(classify_league_quality)"
apply,14590,"result[""league_strength_index""] = result[""league""].apply(get_league_strength)"
apply,14591,"result[""league_quality_tier""] = result[""league_strength_index""].apply(classify_league_quality)"
apply,14594,"age_factor = result.get(""age"", pd.Series([21] * len(result), index=result.index)).apply(get_age_projection_factor)"
apply,14639,"result[""future_asset_tier""] = result[""future_asset_score""].apply(classify_future_asset_tier)"
apply,14914,"display_winners[""Métrica""] = display_winners[""Métrica""].apply(metric_display_name)"
apply,15088,"selector_df[""_s11_position""] = selector_df[""position_group""].apply(normalize_position_group)"
apply,15203,"benchmark_df[""position_group""].apply(normalize_position_group).astype(str) == target_position"
apply,15774,"chart[""_league_label""] = chart.get(""league"", pd.Series("""", index=chart.index)).fillna("""").astype(str).apply(league_display_name)"
apply,15776,"chart[""_recommendation_class""] = chart.apply(classify_similarity_recommendation, axis=1)"
apply,16513,"source = source[source[""position_group""].apply(normalize_position_group) == target_position].copy()"
apply,16519,"matrix = source[feature_cols].apply(pd.to_numeric, errors=""coerce"")"
apply,16632,"similarity_df[""_recommendation_class""] = similarity_df.apply(classify_similarity_recommendation, axis=1)"
apply,16780,"result[""adaptation_risk_label""] = result[""adaptation_risk_score""].apply(classify_adaptation_risk)"
apply,16890,"replacement_df[""replacement_fit""] = replacement_df.apply(classify_replacement_fit, axis=1)"
apply,16893,"replacement_view[""market_value_display""] = replacement_view[""market_value_eur""].apply(format_money_short)"
apply,16895,"replacement_view[""projected_value_3y_display""] = replacement_view[""projected_market_value_3y_eur""].apply(format_money_short)"
apply,16897,"replacement_view[""asset_upside_3y_display""] = replacement_view[""asset_upside_3y_eur""].apply(format_money_short)"
apply,17111,"result[""decision_stage""] = result[""executive_decision_score_v2""].apply(classify_decision_stage)"
apply,17112,"result[""recommended_action""] = result.apply(classify_executive_action, axis=1)"
apply,17113,"result[""executive_priority""] = result.apply(classify_executive_priority_v2, axis=1)"
apply,17114,"result[""decision_drivers""] = result.apply(build_decision_drivers, axis=1)"
apply,17272,"ranking_view[""valor_actual""] = ranking_view[""market_value_eur""].apply(format_money_short) if ""market_value_eur"" in ranking_view.columns else ""N/A"""
apply,17273,"ranking_view[""valor_3y""] = ranking_view[""projected_market_value_3y_eur""].apply(format_money_short) if ""projected_market_value_3y_eur"" in ranking_view.columns else ""N/A"""
apply,17360,"view[""valor_actual""] = view[""market_value_eur""].apply(format_money_short)"
apply,17361,"view[""valor_3y""] = view[""projected_market_value_3y_eur""].apply(format_money_short)"
